id dam sire LLRdam LLRsire LLRpair OHdam OHsire MEpair ringnr damringnr sireringnr 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 2020
8L19569 8M31112 8M31730 27.3 29.61 41.46 0 0 1 8L19569 8M31112 8M31730 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19570_I22_B1 8M31112 8L52283 26.66 27.52 37.16 0 0 0 8L19570 8M31112 8L52283 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19571_K22_B1 F0173 M0164 14.2 12.53 25.22 NA NA NA 8L19571 F0173 M0164 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19572 F0173 M0093 20.81 18.47 28.03 NA NA NA 8L19572 F0173 M0093 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19573_M22_B1 F0173 M0164 16.24 14.41 30 NA NA NA 8L19573 F0173 M0164 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19575_O22_B1 F0173 M0164 14.17 17.24 30.79 NA NA NA 8L19575 F0173 M0164 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19576_A24_B1 F0173 M0164 14.53 18.12 30.2 NA NA NA 8L19576 F0173 M0164 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19577_C24_B1 F0165 M0138 18.89 22.52 29.9 NA NA NA 8L19577 F0165 M0138 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19578_I4_B1 F0165 M0138 18.11 23.3 27.96 NA NA NA 8L19578 F0165 M0138 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19579_E24_B1 F0111 M0112 19.23 17.74 23.44 NA NA NA 8L19579 F0111 M0112 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19580_G24_B1 F0111 M0112 20.91 19.96 29.87 NA NA NA 8L19580 F0111 M0112 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19581_I24_B1 F0111 M0112 22.11 21.34 31.53 NA NA NA 8L19581 F0111 M0112 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19582_K24_B1 F0111 8L30500 16.31 9.04 21.61 NA 1 NA 8L19582 F0111 8L30500 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19588_K4_B1 8L52695_G18_B1 8L57803_O18_B1 27.64 10.16 35.28 0 0 0 8L19588 8L52695 8L57803 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19589_M24_B1 8L52695_G18_B1 8L57803_O18_B1 31.51 10.7 30.41 0 0 0 8L19589 8L52695 8L57803 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19590_O24_B1 8L52695_G18_B1 8904676_N6_B4 23.7 8.5 32.11 0 0 0 8L19590 8L52695 8904676 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19591_M4_B1 8L52695_G18_B1 8L57803_O18_B1 32.44 11.17 31.23 0 1 1 8L19591 8L52695 8L57803 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19592_D1_B1 8L52695_G18_B1 8L57803_O18_B1 29.77 12 34.14 0 0 0 8L19592 8L52695 8L57803 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19593_F1_B1 F0118 8939462 15.43 12.23 26.58 NA 0 NA 8L19593 F0118 8939462 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19594_H1_B1 F0118 M0060 9.48 10.41 15.44 NA NA NA 8L19594 F0118 M0060 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19595 F0118 8939462 18.52 14.61 27.52 NA 0 NA 8L19595 F0118 8939462 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19596_B10_B4 F0118 8939462 8.6 12.41 17.62 NA 0 NA 8L19596 F0118 8939462 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19597_J1_B1 F0118 8939462 16.9 13.7 25.68 NA 0 NA 8L19597 F0118 8939462 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19598_L1_B1 F0169 M0162 19.96 18.83 23.91 NA NA NA 8L19598 F0169 M0162 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19599_N1_B1 F0169 M0208 9.43 15.93 15.47 NA NA NA 8L19599 F0169 M0208 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
8L19600_P1_B1 F0169 M0162 19.06 17.61 21.72 NA NA NA 8L19600 F0169 M0162 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
