,Year_ID_Location,Year_ID,ID,Year_Location,Year,Location,Island,in_out,Least_age,Least_hatchyear,filled,obs,capt,gene_new,Sex,Own_survival,N_Recruits,r2s,parent_in_pedigree,present_in_pedigree,ever_a_parent,ringed_ad_recorded,estimated_pop_size,observed_breeding_popsize,ringnr,flok,flokyear,Island_ID,Year2,IslandYear_ID,ob,ringnr_year,Experienced_breeder,sex,IslandFitness,IslandYearFitness,IslandYearSigma_w,RelPop,logPop,VarIslandYearFitness,w,IDYear
6120,2011_8L89508_hestmannøy,2011_8L89508,2349,2011_hestmannøy,14,HestmannÃ¸y,27,0,4,2007,no,obs,NA,NA,m,0,0,0,no,yes,yes,226,283,245,8L89508,27,272 011,6,14,116,6092,8L89508 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3598
6127,2011_8L89514_hestmannøy,2011_8L89514,2352,2011_hestmannøy,14,HestmannÃ¸y,27,0,5,2006,no,obs,NA,NA,m,0,0,0,no,yes,yes,226,283,245,8L89514,27,272 011,6,14,116,6099,8L89514 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3608
6130,2011_8L89516_hestmannøy,2011_8L89516,2353,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,f,0,0,0,yes,yes,yes,226,283,245,8L89516,27,272 011,6,14,116,6102,8L89516 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3611
6139,2011_8L89521_hestmannøy,2011_8L89521,2357,2011_hestmannøy,14,HestmannÃ¸y,27,0,4,2007,no,obs,NA,NA,f,0,0,0,no,yes,yes,226,283,245,8L89521,27,272 011,6,14,116,6111,8L89521 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3620
6148,2011_8L89539_hestmannøy,2011_8L89539,2363,2011_hestmannøy,14,HestmannÃ¸y,27,0,3,2008,no,obs,NA,NA,f,0,0,0,no,yes,yes,226,283,245,8L89539,27,272 011,6,14,116,6120,8L89539 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3633
6163,2011_8L89616_hestmannøy,2011_8L89616,2369,2011_hestmannøy,14,HestmannÃ¸y,27,0,2,2009,no,obs,NA,NA,f,0,0,0,no,yes,never,226,283,245,8L89616,27,272 011,6,14,116,6135,8L89616 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3645
6176,2011_8L89634_hestmannøy,2011_8L89634,2372,2011_hestmannøy,14,HestmannÃ¸y,27,0,2,2009,no,obs,capt,NA,f,0,1,1,yes,yes,yes,226,283,245,8L89634,27,272 011,6,14,116,6148,8L89634 2011,1,1,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0.5,3657
6180,2011_8L89637_hestmannøy,2011_8L89637,2373,2011_hestmannøy,14,HestmannÃ¸y,27,0,2,2009,no,obs,capt,NA,m,0,1,1,yes,yes,yes,226,283,245,8L89637,27,272 011,6,14,116,6152,8L89637 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0.5,3659
6182,2011_8L89639_hestmannøy,2011_8L89639,2374,2011_hestmannøy,14,HestmannÃ¸y,27,0,2,2009,gene_new,NA,NA,gene_new,m,0,0,0,yes,yes,yes,226,283,245,8L89639,27,272 011,6,14,116,6154,8L89639 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3661
6207,2011_8L89665_hestmannøy,2011_8L89665,2387,2011_hestmannøy,14,HestmannÃ¸y,27,0,2,2009,no,obs,NA,NA,m,0,0,0,no,yes,never,226,283,245,8L89665,27,272 011,6,14,116,6179,8L89665 2011,1,0,0.875870474,0.539583333,0.524577232,2.175523409,1.382203521,0.113089041,0,3688
